Artist,Birth,Death,Art Title,DoC,Estimate,price,Dimentions,close date,Auction Title
Franco Angeli ,1935,1988,Apertura a sinistra,0,"EUR 15,000 - EUR 20,000","EUR 20,000",0,10 Feb 2021,"20 Jan - 10 Feb 2021 | Online Auction 19838
Mapping Modern and Contemporary Art"
"Albert Joseph Moore, A.R.W.S. ",1841,1893,Study for 'Kingcups',0,"GBP 6,000 – GBP 8,000","GBP 5,250",(38.1 x 20.3 cm.),13 Dec 2017,"2017 | LIVE AUCTION 14233
VICTORIAN PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART"
"ECUELLE, SON COUVERCLE, SON PRÉSENTOIR ET SON COUVERT DE TABLE EN VERMEIL",lettre,orfèvre,"PAR JACQUES-HENRI ALBERTI, STRASBOURG, 1775",0,"EUR 30,000 - EUR 40,000","EUR 43,750",0,29 May 2020,"13 May - 29 May 2020 | Online Auction 18931
Collection Edmond Cormier-Thierry-Delanoue (1879-1960)"
JIM DINE ,0,0,The Orange Birthday Robe,2010,"GBP 5,000 - GBP 7,000","GBP 9,375",(138.2 x 97.4cm.),19 Oct 2021,"5 Oct - 19 Oct 2021 | Online Auction 19842
First Open: Post-War & Contemporary Art Online"
ANISH KAPOOR ,B,painted,Turning the World,0,"USD 6,000 - USD 9,000","USD 6,250",(375 x 286 mm.),2 Mar 2018,"23 Feb - 2 Mar 2018 | Online Auction 16176
Contemporary Portfolio"
PAN YULIANG ,CHINA,1977,Nudes and Masks,1956,"HKD 6,000,000 – HKD 7,000,000","HKD 11,885,000",(19 1/4 x 25 3/8 in.),25 May 2019,"2019 | LIVE AUCTION 15615
20TH CENTURY & CONTEMPORARY ART (EVENING SALE)"
Nobuyoshi Araki ,N,2008,Shikijyo Sexual Desire,0,"EUR 3,000 - EUR 5,000","EUR 3,250",(stampa),18 Nov 2021,"8 Nov - 18 Nov 2021 | Online Auction 20732
20th/21st Century: Milan online Sale"
Lucio Fontana ,1899,1968,"Concetto spaziale, Natura",1959,"GBP 180,000 – GBP 250,000","GBP 254,500",(62.5 x 28.1 x 12cm.),16 Oct 2015,"2015 | LIVE AUCTION 11005
THE ITALIAN SALE"
A PAIR OF ENGLISH GILTWOOD ARMCHAIRS,94,carved,"ONE GEORGE III, CIRCA 1780, THE OTHER MADE TO MATCH",0,"GBP 3,000 – GBP 5,000","GBP 3,000",0,10 Nov 2021,"2021 | LIVE AUCTION 20790
MACKINNON: FINE FURNITURE AND WORKS OF ART"
Dominic Beattie ,0,0,Untitled,2012,"GBP 1,000 - GBP 2,000","GBP 1,250",(54.8 x 36cm.),29 Jun 2018,"20 Jun - 29 Jun 2018 | Online Auction 17018
Handpicked: 50 works selected by the Saatchi Collection - Online Only"
HOWARD HODGKIN ,1932,2017,"Venice, Morning, from: Venetian Views",0,"GBP 8,000 - GBP 12,000","GBP 8,750",(each),28 Sep 2021,"16 Sep - 28 Sep 2021 | Online Auction 19776
Prints & Multiples"
A SMALL ROYAL WORCESTER  PORCELAIN RETICULATED VASE,GEORGE,turquoise,"LATE 19TH CENTURY, PUCE PAINTED CROWN AND MONOGRAM MARKS, PATENT REGISTRY NO. 60366 FOR 1886, MODEL NO. 1176, IMPRESSED 1",0,"USD 2,000 – USD 3,000","USD 1,750",0,13 Apr 2017,"2017 | LIVE AUCTION 13921
OPULENCE"
Marc Chagall ,1887,1985,La tentation,0,"GBP 25,000 – GBP 35,000","GBP 55,250",(37.5 x 28.1 cm.),7 Feb 2013,"2013 | LIVE AUCTION 1104
IMPRESSIONIST/MODERN WORKS ON PAPER"
Harold Frank Wallace ,1881,1962,The unwelcome visitor,0,"GBP 800 - GBP 1,200","GBP 7,500",(48.9 x 71.1 cm.),18 Dec 2017,"4 Dec - 18 Dec 2017 | Online Auction 15547
The Astor Collection from Tillypronie, Aberdeenshire"
Ernst Ludwig Kirchner ,1880,1938,Zwei liegende Akte,0,"GBP 100,000 – GBP 150,000","GBP 164,500",(34.5 x 44.5 cm.),5 Feb 2014,"2014 | LIVE AUCTION 1508
IMPRESSIONIST/MODERN WORKS ON PAPER"
RUSSELL YOUNG ,0,0,"Jane Fonda, from Mugshot Series",0,"USD 2,000 – USD 3,000","USD 5,625",(953 x 737 mm.),16 Jul 2013,"2013 | LIVE AUCTION 2718
FIRST IMPRESSION PRINTS AND MULTIPLES"
AN APULIAN RED-FIGURED PELIKE,37,FIGURED,"ATTRIBUTED TO THE FORLI PAINTER, CIRCA 340-310 B.C.",0,"GBP 800 – GBP 1,200","GBP 2,375",0,4 Dec 2018,"2018 | LIVE AUCTION 17420
OLD MASTERS/NEW SCHOLARS: WORKS OF ART SOLD TO BENEFIT RUGBY SCHOOL"
ERNST SAMUEL GEIGER ,1876,1965,"Abend, 1913",0,"CHF 8,000 – CHF 12,000","CHF 7,200",0,30 May 2016,"2016 | LIVE AUCTION 2006
SWISS ART"
A GERMAN ORMOLU-MOUNTED MALACHITE-VENEERED TABLE CLOCK,50,MOUNTED,LATE 19TH CENTURY,0,"USD 3,000 – USD 5,000","USD 6,875",0,22 Jun 2016,"2016 | LIVE AUCTION 3796
THE PRIVATE COLLECTION OF JOAN RIVERS"
"TUDOR, SUBMARINER, REF. 79090",0,0,,0,"USD 4,000 - USD 5,000","USD 5,250",0,13 Aug 2019,"30 Jul - 13 Aug 2019 | Online Auction 17564
Christie’s Watches Online: The Keystone Collection"
JASPER JOHNS ,1930,0,Untitled,0,"USD 2,000 – USD 3,000","USD 3,250",(251 x 254 mm.),12 Feb 2015,"2015 | LIVE AUCTION 3701
FIRST IMPRESSION"
Karen Kilimnik ,0,0,Little Fir Tree,1996,"GBP 15,000 – GBP 20,000","GBP 15,000",(45.6 x 35.6cm.),5 Apr 2017,"2017 | LIVE AUCTION 14422
FIRST OPEN"
Pierre-Auguste Renoir ,1841,Auguste,"Paysage, chemin à la sortie d'un bois",0,"GBP 120,000 – GBP 180,000","GBP 150,000",(22.2 x 31.3 cm.),28 Feb 2018,"2018 | LIVE AUCTION 15472
IMPRESSIONIST AND MODERN ART DAY SALE"
PIERRE-AUGUSTE RENOIR ,1841,AUGUSTE,Enfants jouant à la balle,0,"GBP 25,000 – GBP 35,000","GBP 35,000",0,19 Sep 2017,"2017 | LIVE AUCTION 13879
PRINTS AND MULTIPLES"
Mel Bochner ,0,0,Untitled,1992,"GBP 12,000 – GBP 18,000","GBP 16,250",(60 x 46cm.),29 Sep 2016,"2016 | LIVE AUCTION 12724
FIRST OPEN | POST-WAR AND CONTEMPORARY ART | LONDON"
DAMIEN HIRST ,0,0,"Billy Mill Roundabout, from the portfolio In a Spin, The Action of the World on Things, Volume I",0,USD 500 - USD 700,"USD 2,125",(915 x 710 mm.),21 Sep 2017,"12 Sep - 21 Sep 2017 | Online Auction 15074
Contemporary Edition"
"HENRY MOORE, O.M., C.H. ",1898,1986,Fledgling,1960,"GBP 5,000 – GBP 7,000","GBP 16,250",0,2 Mar 2021,"2021 | LIVE AUCTION 19784
MODERN BRITISH ART DAY SALE"
ROY LICHTENSTEIN ,1923,1997,"Imperfect 67 x 79 7/8"", from Imperfect Series",0,"USD 60,000 – USD 80,000","USD 100,000",0,20 Apr 2018,"2018 | LIVE AUCTION 16121
PRINTS AND MULTIPLES"
PABLO PICASSO ,1881,1973,Visage no. 197 (A.R. 494),1963,"GBP 5,000 - GBP 8,000","GBP 18,750",0,22 Jun 2018,"15 Jun - 22 Jun 2018 | Online Auction 16095
Picasso Ceramics - Online"
Karel Appel ,1921,2006,Blue Nude,1965,"EUR 12,000 - EUR 18,000","EUR 20,000",0,27 May 2021,"13 May - 27 May 2021 | Online Auction 19769
Post-War and Contemporary Art Amsterdam"
René Daniëls ,1950,0,Gespletenheid Geaccepteerd (Disunity Accepted),1982,"EUR 150,000 – EUR 200,000","EUR 181,500",0,21 Apr 2016,"2016 | LIVE AUCTION 3062
POST-WAR AND CONTEMPORARY ART"
"A PAIR OF FRENCH ORMOLU, SILVERED-BRONZE AND CUT-CRYSTAL TAZZE",23,BRONZE,"BY BACCARAT, PARIS, LATE 19TH CENTURY",0,"USD 3,000 – USD 5,000","USD 3,750",0,17 Oct 2017,"2017 | LIVE AUCTION 14974
THE COLLECTOR: 19TH CENTURY FURNITURE, SCULPTURE, WORKS OF ART, CERAMICS & SILVER"
Peter Halley ,0,0,Untitled (10/6/98.3),1998,"EUR 4,000 - EUR 6,000","EUR 10,000",0,6 Dec 2021,"23 Nov - 6 Dec 2021 | Online Auction 20076
Vente en ligne d'Art Contemporain"
Kees Verwey ,1900,1995,A colourful bouquet,1977,"EUR 6,000 – EUR 8,000","EUR 11,250",0,29 May 2013,"2013 | LIVE AUCTION 3030
IMPRESSIONIST AND MODERN ART"
Pablo Picasso ,1881,1973,Grand vase aux femmes voilées (Alain Ramié 116; Georges Bloch 21),0,"EUR 120,000 – EUR 180,000","EUR 301,500",0,3 Dec 2013,"2013 | LIVE AUCTION 3567
ART IMPRESSIONNISTE ET MODERNE"
Maurice Utrillo ,1883,1955,Eglise de Saint-Hilarion (Seine-et-Oise),0,"EUR 50,000 – EUR 70,000","EUR 55,500",0,24 Oct 2014,"2014 | LIVE AUCTION 3590
ART MODERNE"
Colin W. Burns ,1944,0,"The dunes at Waxham, Norfolk",0,"GBP 2,000 – GBP 3,000","GBP 2,250",(38.1 x 53.4 cm.),23 Mar 2016,"2016 | LIVE AUCTION 12308
VICTORIAN, PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART"
William Joseph Julius Caesar Bond ,1833,1928,Hay barge in open water,0,"GBP 1,500 – GBP 2,000","GBP 1,875",(60 x 41 cm.),19 Jun 2014,"2014 | LIVE AUCTION 5411
VICTORIAN, PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART"
PABLO PICASSO ,1881,1973,Profil de Jacqueline (A.R. 383),1956,"USD 5,000 - USD 7,000","USD 10,000",0,17 May 2021,"3 May - 17 May 2021 | Online Auction 18803
Picasso Ceramics Online"
AERNAUT SMIT ,AMSTERDAM,1710,Vessels sailing in choppy waters near a port,0,"GBP 5,000 - GBP 8,000","GBP 4,750",(77.1 x 106 cm.),8 Dec 2021,"17 Nov - 8 Dec 2021 | Online Auction 20056
Old Master Paintings and Sculpture: Online"
Seth Price ,0,0,Untitled,2006,"GBP 8,000 - GBP 12,000","GBP 13,750",(50 x 42 x 5cm.),17 Apr 2018,"9 Apr - 17 Apr 2018 | Online Auction 16443
First Open Online"
Elmgreen & Dragset ,1961,0,Powerless Structures Fig 171,2001,"EUR 8,000 - EUR 12,000","EUR 13,750",0,18 Jun 2020,"2 Jun - 18 Jun 2020 | Online Auction 18280
Post-War & Contemporary Art: Amsterdam"
"Christopher Richard Wynne Nevinson, A.R.A. ",1889,1946,The Temples of New York,1919,"GBP 5,000 – GBP 7,000","GBP 12,500",(20 x 15 cm.),26 Jun 2015,"2015 | LIVE AUCTION 10364
MODERN BRITISH AND IRISH ART DAY SALE, LONDON"
ROE ETHRIDGE ,0,0,Orange Grove #7,2004,"USD 6,000 - USD 8,000","USD 2,500",(96.5 x 76.2 cm.),16 Dec 2021,"3 Dec - 16 Dec 2021 | Online Auction 21111
Image World | Contemporary Art from a Private American Collection"
"Kelly Roberts, 2021",0,0,"5 Chairs, Bryant Park",0,"USD 800 - USD 1,000","USD 1,750",0,2 Sep 2021,"25 Aug - 2 Sep 2021 | Online Auction 20595
Inside Job: The New York Edition"
Ludovic Piette-Montfoucault ,FRENCH,Montfoucault,Madame Piette à l'ombrelle,0,"GBP 1,000 – GBP 1,500","GBP 1,250",(40.7 x 30 cm.),6 Jun 2013,"2013 | LIVE AUCTION 8889
19TH CENTURY EUROPEAN ART"
Werner Drewes ,1899,1985,Pastorale,1941,"USD 4,000 - USD 6,000","USD 10,625",(15.2 x 35.6 cm.),20 Nov 2018,"14 Nov - 20 Nov 2018 | Online Auction 16472
American Art Online"
HANS ROTTENHAMMER ,MUNICH,1625,Le Christ mis en Croix,0,"EUR 25,000 – EUR 35,000","EUR 32,500",0,27 Mar 2019,"2019 | LIVE AUCTION 16827
DESSINS ANCIENS ET DU XIXÈME INCLUANT DES OEUVRES DE LA COLLECTION JEAN BONNA"
Bernard Buffet ,1928,1999,Clown au chapeau noir fond rouge,1961,"USD 300,000 – USD 500,000","USD 727,500",(100.4 x 81.4 cm.),16 May 2017,"2017 | LIVE AUCTION 14186
IMPRESSIONIST AND MODERN ART DAY SALE"
John Bock ,1965,0,Untitled (Ghost of Skipholt),2007,USD 500 - USD 700,USD 750,(99.7 x 75.9 cm.),5 Feb 2020,"28 Jan - 5 Feb 2020 | Online Auction 19045
Christie's 100"
MICHELE ROCCA ,PARMA,1751,The Penitent Magdalene,0,"USD 20,000 - USD 40,000","USD 15,000",(220.3 x 167 cm.),20 Oct 2020,"1 Oct - 20 Oct 2020 | Online Auction 18553
Old Master Paintings and Sculpture"
HELMUT NEWTON ,1920,2004,"Classic Portfolio (Helmut Newton Photographien), 1998",0,"EUR 100,000 – EUR 150,000","EUR 118,750",(chaque),9 Nov 2021,"2021 | LIVE AUCTION 19834
PHOTOGRAPHIES"
John Ford Clymer ,1907,1989,Red Dust,1977,"USD 150,000 – USD 250,000","USD 175,000",(50.8 x 101.6 cm.),28 Oct 2020,"2020 | LIVE AUCTION 19499
THE LEGEND OF THE WEST: ICONIC WORKS FROM THE T. BOONE PICKENS COLLECTION"
Archibald Thorburn ,1860,1935,Polygonum,0,GBP 500 - GBP 700,"GBP 1,500",(15.2 x 19 cm.),18 Dec 2017,"4 Dec - 18 Dec 2017 | Online Auction 15547
The Astor Collection from Tillypronie, Aberdeenshire"
A PAIR OF FRENCH ORMOLU AND PATINATED BRONZE FOUR-LIGHT CANDELABRA,122,LIGHT,CIRCA 1870-80,0,"USD 30,000 – USD 50,000","USD 30,000",0,24 Mar 2016,"2016 | LIVE AUCTION 12189
LEGACY & HERITAGE: THE DE GUIGNE COLLECTION"
Michael Kirkham ,1971,0,Untitled,2008,"EUR 6,000 - EUR 8,000",0,0,26 Apr 2022,"12 Apr - 26 Apr 2022 | Online Auction 20823
20th/21st Century: Amsterdam"
René Magritte ,1898,1968,Le sourire du diable,0,"EUR 300,000 – EUR 500,000","EUR 361,500",(19¼ x 11¾ in.),3 Dec 2013,"2013 | LIVE AUCTION 3567
ART IMPRESSIONNISTE ET MODERNE"
Gary Hume ,1962,0,Untitled (Four Doors),1991,"GBP 1,500 – GBP 2,500","GBP 3,000",(56 x 76cm.),20 Nov 2012,"2012 | LIVE AUCTION 6766
POST WAR AND CONTEMPORARY ART 1990 TO NOW"
Barry McGee ,1966,0,Venice Wall,1998,"USD 25,000 – USD 35,000","USD 40,000",(154 x 121.9 cm.),8 Mar 2013,"2013 | LIVE AUCTION 2683
FIRST OPEN"
Joan Miró ,1893,1983,Personnage,0,"GBP 20,000 – GBP 30,000","GBP 27,500",(58 x 30.5 cm.),23 Jun 2016,"2016 | LIVE AUCTION 11793
IMPRESSIONIST & MODERN ART WORKS ON PAPER"
Helen Frankenthaler ,American,2011,Tribal Sign,0,"USD 4,000 – USD 6,000","USD 5,000",(61 x 46.4 cm),22 Aug 2019,"2019 | LIVE AUCTION 17423
INTERIORS"
MIMI PARENT ,1924,2005,Au Lion d'or,0,"EUR 3,000 – EUR 5,000","EUR 9,375",(36 ¼ x 28 ¾ in.),8 Jun 2018,"2018 | LIVE AUCTION 16169
POST-WAR AND CONTEMPORARY ART PARIS, DAY SALE"
Martin Eder ,0,0,Untitled (Cat),2002,"GBP 6,000 – GBP 8,000","GBP 7,500",(74 x 53cm.),15 Sep 2017,"2017 | LIVE AUCTION 15678
FIRST OPEN"
Aristide Maillol ,1861,1944,Nu agenouillé,0,"EUR 2,000 – EUR 3,000","EUR 3,250",0,18 Oct 2019,"2019 | LIVE AUCTION 17692
ART MODERNE"
ANSEL ADAMS ,1902,1977,"Monolith, The Face of Half Dome, Yosemite National Park, c. 1926",0,"USD 20,000 - USD 25,000","USD 25,000",(48.8 x 35.5 cm.),30 Sep 2020,"21 Sep - 30 Sep 2020 | Online Auction 18978
Photographs"
MARION PALFI ,0,0,"Wife of a Lynch Victim, Irwinton, Georgia from 'There Is No More Time', 1949",0,"USD 2,000 - USD 3,000","USD 1,000",(40.9 x 33.3 cm.),19 Jul 2018,"9 Jul - 19 Jul 2018 | Online Auction 16653
MoMA: Tracing Photography's History"
MAX BECKMANN ,1884,1950,Bei der Toilette (Two Women Dressing),0,"USD 15,000 – USD 20,000","USD 9,375",(727 x 533 mm.),15 Sep 2021,"2021 | LIVE AUCTION 20746
A GRAPHIC DIALOGUE: PRINTS FROM THE COLLECTION OF LOIS B. TORF"
A LOUIS XV BEECHWOOD FAUTEUIL,96,18TH,"BY FRANCOIS LESUEUR, MID-18TH CENTURY, RESTORATIONS AND REPLACEMENTS",0,"GBP 1,000 – GBP 1,500","GBP 1,250",0,19 Mar 2020,"2020 | LIVE AUCTION 18844
CHIEVELEY HOUSE, BERKSHIRE AND FIVE PRIVATE COLLECTIONS"
A ROMAN MARBLE HERM OF DIONYSUS,75,shaped,CIRCA 1ST CENTURY A.D.,0,"USD 20,000 – USD 30,000","USD 22,500",0,8 Oct 2013,"2013 | LIVE AUCTION 3433
ARBITERS OF STYLE: THE COLLECTION OF ANTHONY HAIL & CHARLES POSEY"
"Elizabeth Rossetti, née Siddal ",1829,1862,"Study of a woman and a man seated on the ground, a further male figure standing behind",0,"GBP 1,000 – GBP 1,500","GBP 2,500",(11.1 x 11.4 cm.),11 Jul 2018,"2018 | LIVE AUCTION 15506
VICTORIAN PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART"
Yoshitomo Nara ,1959,0,Sleepless Night Sitting,2007,"USD 30,000 - USD 50,000","USD 87,500",(30 x 15 x 16 cm.),15 Dec 2020,"1 Dec - 15 Dec 2020 | Online Auction 18985
First Open | Online"
Marc Chagall ,1887,1985,Vue de la fenêtre sur Central Park,1958,"USD 200,000 – USD 300,000","USD 221,000",(50.8 x 76.3 cm.),6 Nov 2014,"2014 | LIVE AUCTION 2889
IMPRESSIONIST & MODERN WORKS ON PAPER SALE"
A SET OF FOUR CHARLES X ORMOLU SIX-LIGHT CANDELABRA,0,0,CIRCA 1825,0,"USD 5,000 - USD 8,000","USD 4,375",0,29 Jun 2021,"15 Jun - 29 Jun 2021 | Online Auction 20210
Vince Camuto: Designer and Collector"
Richard Mortenssen ,1910,1993,Sans titre,0,EUR 400 - EUR 600,"EUR 1,000",0,27 Oct 2020,"15 Oct - 27 Oct 2020 | Online Auction 19966
The Fall/Winter Modern Art Week 2020"
Roxy Paine ,0,0,Untitled,2011,"USD 10,000 – USD 15,000","USD 10,000",(47.3 x 55.9 x 20.3 cm.),8 Mar 2013,"2013 | LIVE AUCTION 2683
FIRST OPEN"
Albrecht Dürer,B,10,"The Ascension, from The Small Passion (B. 50; M., Holl. 159; S.M.S. 220)",0,"GBP 2,500 – GBP 3,500","GBP 2,250",0,3 Dec 2014,"2014 | LIVE AUCTION 1540
OLD MASTER PRINTS"
LEONOR FINI ,1907,1996,La Nuit vaincue,0,"USD 1,200 – USD 1,500","USD 4,750",(575 x 384 mm.),2 Nov 2016,"2016 | LIVE AUCTION 12206
PRINTS & MULTIPLES FEATURING THE GILBERT E. KAPLAN COLLECTION OF SURREALIST PRINTS"
Jonas Lie ,1880,1940,On the Wings of the Morning,0,"USD 60,000 - USD 80,000","USD 87,500",(76.2 x 114.3 cm.),7 Aug 2020,"23 Jul - 7 Aug 2020 | Online Auction 18433
American Art Online"
LUCAS VAN LEYDEN ,1494,1533,A Nobleman and a Lady seated in a Landscape,0,"GBP 1,500 - GBP 2,000","GBP 3,250",(B. 148),3 Jul 2019,"27 Jun - 3 Jul 2019 | Online Auction 16229
Three Northern Masters"
"Joseph Edward Southall, R.W.S., R.B.S.A., N.E.A.C. ",1861,1944,Study of a standing female observed from behind and a study of the head of a lady,0,GBP 600 – GBP 800,"GBP 1,000",(38.1 x 26.7 cm.),4 Sep 2014,"2014 | LIVE AUCTION 5928
THE NEIL WILSON COLLECTION: A ROMANTIC VISION"
Francis Picabia ,1879,1953,What men have on their minds,0,"GBP 12,000 – GBP 18,000","GBP 22,500",(30.7 x 22.5 cm.),5 Feb 2015,"2015 | LIVE AUCTION 10335
IMPRESSIONIST/MODERN WORKS ON PAPER"
A PAIR OF EMPIRE ORMOLU THREE-BRANCH WALL-LIGHTS,46,shaped,"AFTER LUCIEN-FRANCOIS FEUCHERE, EARLY 19TH CENTURY",0,"USD 5,000 - USD 8,000","USD 5,000",0,1 Jul 2021,"15 Jun - 1 Jul 2021 | Online Auction 20533
Treasures of a Storied Manhattan Collection"
"David Hockney, R.A., O.M., C.H. ",1937,0,Dale and Mo,0,"GBP 25,000 – GBP 35,000","GBP 45,000",(48.8 x 39.4 cm.),20 Jun 2018,"2018 | LIVE AUCTION 15480
MODERN BRITISH ART DAY SALE"
PAUL BONIFAS ,117,jour,"LAMPE DE TABLE, VERS 1930",0,EUR 600 - EUR 800,EUR 750,0,27 May 2021,"11 May - 27 May 2021 | Online Auction 20147
Collection Marion Lambert - Vente Online"
COMPLETE PLAINVIEW METEORITE WITH H.H. NININGER PROVENANCE,the,hues,"H5 Hale County, Texas",1915,"USD 7,000 - USD 10,000","USD 7,500",(5.75 x 4 x 2.33 in.),25 Aug 2020,"12 Aug - 25 Aug 2020 | Online Auction 18513
Deep Impact: Lunar and Rare Meteorites"
No Name,0,0,No Name,0,0,0,0,0,0
No Name,0,0,No Name,0,0,0,0,0,0
ERNIE BARNES ,1938,2009,The Red Wall,1970,"USD 50,000 – USD 70,000","USD 63,000",(75.6 x 91.4 cm.),10 Mar 2022,"MARCH 10 | LIVE AUCTION 20267
POST-WAR TO PRESENT"
Fernand Léger ,1881,1955,"Les deux amoureux, 1er état",1952,"GBP 800,000 – GBP 1,200,000","GBP 1,028,750",(65.2 x 50.5 cm.),27 Feb 2018,"2018 | LIVE AUCTION 15469
IMPRESSIONIST AND MODERN ART EVENING SALE"
KUDZANAI-VIOLET HWAMI ,B,VIOLET,Sango neMuchero,2014,"GBP 3,000 - GBP 5,000","GBP 37,500",(50.1 x 39.5cm.),27 Oct 2020,"14 Oct - 27 Oct 2020 | Online Auction 19255
First Open: Post-War & Contemporary Art Online"
Bertrand Lavier ,0,0,"Atomium, 2007",0,"EUR 30,000 – EUR 50,000","EUR 162,500",0,3 Nov 2021,"2021 | LIVE AUCTION 20380
COLLECTION DANIEL LEBARD, SOUS LE PRISME DE LA MODERNITÉ"
Salomon van Ruysdael ,Naarden,1670,A river landscape with a ferry and Kronenburg Castle in the background,0,"USD 30,000 – USD 50,000","USD 93,750",(79.1 x 103.8 cm.),1 May 2019,"2019 | LIVE AUCTION 17467
OLD MASTER PAINTINGS AND SCULPTURE"
DAMIEN HIRST ,0,0,Beverly Hills,0,"GBP 5,000 - GBP 7,000","GBP 7,500",0,25 Sep 2019,"11 Sep - 25 Sep 2019 | Online Auction 17020
Contemporary Edition"
Gerhard Richter ,0,0,MV. 78,2011,"GBP 20,000 – GBP 30,000","GBP 25,000",(10.1 x 15cm.),14 Apr 2016,"2016 | LIVE AUCTION 11960
FIRST OPEN | LONDON"
George Turner ,1843,1910,"A quiet pool, near Stanton-by-Bridge",0,"GBP 1,500 – GBP 2,000","GBP 2,500",(46 x 66 cm.),13 Mar 2013,"2013 | LIVE AUCTION 8433
VICTORIAN & BRITISH IMPRESSIONIST ART"
CIRCLE OF JACOB JORDAENS ,ANTWERP,1678,The Blessing of Isaac,0,"USD 6,000 - USD 8,000","USD 2,750",(48.9 x 63.8 cm.),23 Apr 2021,"8 Apr - 23 Apr 2021 | Online Auction 19740
Old Masters Part II"
André Brasilier ,1929,0,Cavalcade dans les flots,2010,"GBP 40,000 – GBP 60,000","GBP 43,750",(116 x 81.2 cm.),21 Jun 2018,"2018 | LIVE AUCTION 15484
IMPRESSIONIST AND MODERN ART DAY SALE"
Richard Diebenkorn ,1922,1993,Untitled,0,"USD 80,000 – USD 120,000","USD 137,500",(57.1 x 44.4 cm.),18 May 2018,"2018 | LIVE AUCTION 15969
POST-WAR AND CONTEMPORARY ART MORNING SESSION"
"Patrick Caulfield, R.A. ",1936,2005,Study,1992,"GBP 40,000 – GBP 60,000","GBP 93,750",(76.2 x 61 cm.),22 Jan 2020,"2020 | LIVE AUCTION 17282
MODERN BRITISH ART DAY SALE"
Richard Diebenkorn ,1922,1993,Nude—Elbow on Knee,1961,"USD 800,000 – USD 1,200,000","USD 1,152,500",(61 x 43.8 cm.),17 May 2018,"2018 | LIVE AUCTION 15968
POST-WAR AND CONTEMPORARY ART EVENING SALE"
HERB RITTS ,1952,five,"Male Nude with Shell, Hawaii, 1988",0,"USD 5,000 - USD 7,000","USD 5,040",(39.3 x 49.5 cm.),7 Apr 2022,"23 Mar - 7 Apr 2022 | Online Auction 21379
Photographs from the Richard Gere Collection"
Godfried Schalcken ,Made,1706,"Portrait of Maria Anna of Pfalz-Neuburg (1667-1740), Consort of Carlos II of Spain, half-length, in a red embroidered dress",0,"GBP 20,000 – GBP 30,000","GBP 22,500",(50.2 x 40 cm.),3 Jul 2013,"2013 | LIVE AUCTION 1138
OLD MASTER & BRITISH PAINTINGS DAY SALE"
A PAIR OF DINING-ROOM PEDESTALS,106,ROOM,"GEORGE III, CIRCA 1790, THE URNS ASSOCIATED, ONE OF LATER DATE AND MADE TO MATCH",0,"GBP 3,000 – GBP 5,000","GBP 4,000",0,13 Dec 2019,"2019 | LIVE AUCTION 17736
PROPERTY FROM DESCENDANTS OF THEIR MAJESTIES KING GEORGE V AND QUEEN MARY"
Circle of Pieter Brueghel II ,Antwerp,1638,Merry-making on the ice,0,"USD 40,000 – USD 60,000","USD 104,500",(79.1 x 105.4 cm.),31 Jan 2013,"2013 | LIVE AUCTION 2676
OLD MASTER PAINTINGS PART II"
ADOLPHE-ANTOINE PERROT ,NIMES,ANTOINE,Le Camposanto à Pise,0,"EUR 40,000 – EUR 60,000","EUR 139,000",0,21 Jun 2012,"2012 | LIVE AUCTION 3511
TABLEAUX ANCIENS ET DU XIXE SIÈCLE"
"Sir Edward Coley Burne-Jones, Bt., A.R.A., R.W.S. ",1833,Jones,Le Chant d'Amour,0,"GBP 30,000 – GBP 50,000","GBP 32,500",(60.6 x 91.5 cm.),11 Dec 2018,"2018 | LIVE AUCTION 15507
BRITISH ART: VICTORIAN, PRE RAPHAELITE & BRITISH IMPRESSIONIST ART"
ALIDA CERVANTES ,0,0,Obediencia (Obedience),2013,"GBP 2,000 - GBP 3,000","GBP 4,750",(182.9cm. x 213.4cm.),7 Jul 2021,"24 Jun - 7 Jul 2021 | Online Auction 19114
First Open: Post-War and Contemporary Art Online"
HAROLD CHARLES FRANCIS HARVEY ,BRITISH,1941,The Elm Tree,0,"GBP 5,000 - GBP 8,000","GBP 3,000",(50.8 x 40.7 cm.),16 Dec 2021,"2 Dec - 16 Dec 2021 | Online Auction 20112
British and European Art"
JOCK STURGES ,0,0,"'Misty Dawn, Northern California: Color', 2007",0,"USD 15,000 – USD 25,000","USD 12,500",(58.4 x 38.7cm.),29 Sep 2014,"2014 | LIVE AUCTION 3458
TRIPLE XXX: PHOTOGRAPHS FROM THE COLLECTION OF DON SANDERS"
Julia Chiang ,1978,0,Wet and Breezy,2020,"USD 18,000 – USD 25,000","USD 32,500",(76.2 x 55.9 cm.),10 Jul 2020,"2020 | LIVE AUCTION 18727
POST-WAR & CONTEMPORARY ART DAY SALE"
A MUGHAL-STYLE GEM-SET ROCK CRYSTAL HILT,13,STYLE,"INDIA, LATE 19TH/ EARLY 20TH CENTURY",0,"GBP 4,000 – GBP 6,000","GBP 5,000",0,15 Apr 2021,"2021 | LIVE AUCTION 20025
THE COLLECTION OF MRS. HENRY FORD II: EATON SQUARE AND TURVILLE GRANGE"
